cycle,sm,cta,warp,pc,instruction,event,active_mask,eligible,selected,stall_reason,memory_transaction_count,cache_result,divergence_depth
53,0,0,5,10,"ST.GLOBAL [r4 + 65536], r3",MEMORY_REQUEST,11111111111111110000000000000000,1,0,"",,,
53,1,0,9,11,"",MEMORY_RETURN,11111111111111110000000000000000,1,0,"",,,
53,1,0,13,10,"ST.GLOBAL [r4 + 65536], r3",ISSUE,11111111111111110000000000000000,1,1,"",,,
53,1,0,13,10,"ST.GLOBAL [r4 + 65536], r3",EXECUTE,11111111111111110000000000000000,1,0,"",,,
53,1,0,13,10,"ST.GLOBAL [r4 + 65536], r3",MEMORY_REQUEST,11111111111111110000000000000000,1,0,"",,,
54,0,0,2,11,"",MEMORY_RETURN,11111111111111110000000000000000,1,0,"",,,
54,0,0,6,10,"ST.GLOBAL [r4 + 65536], r3",ISSUE,11111111111111110000000000000000,1,1,"",,,
54,0,0,6,10,"ST.GLOBAL [r4 + 65536], r3",EXECUTE,11111111111111110000000000000000,1,0,"",,,
54,0,0,6,10,"ST.GLOBAL [r4 + 65536], r3",MEMORY_REQUEST,11111111111111110000000000000000,1,0,"",,,
54,1,0,10,11,"",MEMORY_RETURN,11111111111111110000000000000000,1,0,"",,,
54,1,0,14,10,"ST.GLOBAL [r4 + 65536], r3",ISSUE,11111111111111110000000000000000,1,1,"",,,
54,1,0,14,10,"ST.GLOBAL [r4 + 65536], r3",EXECUTE,11111111111111110000000000000000,1,0,"",,,
54,1,0,14,10,"ST.GLOBAL [r4 + 65536], r3",MEMORY_REQUEST,11111111111111110000000000000000,1,0,"",,,
55,0,0,3,11,"",MEMORY_RETURN,11111111111111110000000000000000,1,0,"",,,
55,0,0,7,10,"ST.GLOBAL [r4 + 65536], r3",ISSUE,11111111111111110000000000000000,1,1,"",,,
55,0,0,7,10,"ST.GLOBAL [r4 + 65536], r3",EXECUTE,11111111111111110000000000000000,1,0,"",,,
55,0,0,7,10,"ST.GLOBAL [r4 + 65536], r3",MEMORY_REQUEST,11111111111111110000000000000000,1,0,"",,,
55,1,0,11,11,"",MEMORY_RETURN,11111111111111110000000000000000,1,0,"",,,
55,1,0,15,10,"ST.GLOBAL [r4 + 65536], r3",ISSUE,11111111111111110000000000000000,1,1,"",,,
55,1,0,15,10,"ST.GLOBAL [r4 + 65536], r3",EXECUTE,11111111111111110000000000000000,1,0,"",,,
55,1,0,15,10,"ST.GLOBAL [r4 + 65536], r3",MEMORY_REQUEST,11111111111111110000000000000000,1,0,"",,,
56,0,0,4,11,"",MEMORY_RETURN,11111111111111110000000000000000,1,0,"",,,
56,0,0,0,11,"HALT",ISSUE,11111111111111110000000000000000,1,1,"",,,
56,0,0,0,4,"HALT",RECONVERGE,00000000000000001111111111111111,1,0,"",,,
56,1,0,12,11,"",MEMORY_RETURN,11111111111111110000000000000000,1,0,"",,,
56,1,0,8,11,"HALT",ISSUE,11111111111111110000000000000000,1,1,"",,,
56,1,0,8,4,"HALT",RECONVERGE,00000000000000001111111111111111,1,0,"",,,
57,0,0,5,11,"",MEMORY_RETURN,11111111111111110000000000000000,1,0,"",,,
57,0,0,1,11,"HALT",ISSUE,11111111111111110000000000000000,1,1,"",,,
57,0,0,1,4,"HALT",RECONVERGE,00000000000000001111111111111111,1,0,"",,,
57,1,0,13,11,"",MEMORY_RETURN,11111111111111110000000000000000,1,0,"",,,
57,1,0,9,11,"HALT",ISSUE,11111111111111110000000000000000,1,1,"",,,
57,1,0,9,4,"HALT",RECONVERGE,00000000000000001111111111111111,1,0,"",,,
58,0,0,6,11,"",MEMORY_RETURN,11111111111111110000000000000000,1,0,"",,,
58,0,0,2,11,"HALT",ISSUE,11111111111111110000000000000000,1,1,"",,,
58,0,0,2,4,"HALT",RECONVERGE,00000000000000001111111111111111,1,0,"",,,
58,1,0,14,11,"",MEMORY_RETURN,11111111111111110000000000000000,1,0,"",,,
58,1,0,10,11,"HALT",ISSUE,11111111111111110000000000000000,1,1,"",,,
58,1,0,10,4,"HALT",RECONVERGE,00000000000000001111111111111111,1,0,"",,,
59,0,0,7,11,"",MEMORY_RETURN,11111111111111110000000000000000,1,0,"",,,
59,0,0,3,11,"HALT",ISSUE,11111111111111110000000000000000,1,1,"",,,
59,0,0,3,4,"HALT",RECONVERGE,00000000000000001111111111111111,1,0,"",,,
59,1,0,15,11,"",MEMORY_RETURN,11111111111111110000000000000000,1,0,"",,,
59,1,0,11,11,"HALT",ISSUE,11111111111111110000000000000000,1,1,"",,,
59,1,0,11,4,"HALT",RECONVERGE,00000000000000001111111111111111,1,0,"",,,
60,0,0,4,11,"HALT",ISSUE,11111111111111110000000000000000,1,1,"",,,
